ajol_id,author
164422,J. Kruger
164423,J. Roussouw
146000,Martin Laubscher
146001,M.S. Conradie
146002,G.A. Duncan
146004,C.J. Kaunda
146005,M Kotzé
146006,D.J. Louw
146009,E.D. Mbennah
146010,F Olojede
146011,M Prozesky
146012,A.W.G. Raath
149860,DFM Strauss
146014,P.J. Strauss
146015,M Wilson
146016,M Laubscher
146017,H.C. van Zyl
146018,M Laubscher
146019,P Verster
146036,Francois Tolmie
146037,P Lampe
146038,J.T. Fitzgerald
146040,T Nicklas
146041,P.G. Kirchschlaeger
154315,P.B. Decock
146042,L Howes
146043,W Domeris
154317,A.G. van Aarde
146045,A Friedl
146046,J Punt
146047,M Tilly
146050,P.G.R. de Villiers
146051,C.L. de Wet
146052,D.F. Tolmie
146054,C Breytenbach
146056,Helené van Tonder
146057,E.J. Echeverria
146058,C Lombaard
146059,B McGinn
146061,R Moss
146062,C.J.P. Niemandt
146063,L Ntombana
146066,M.J. Swart
146066,G.J. van Zyl
146066,J.A. van den Berg
146067,F.T. Tomoioagă
146068,J Urbaniak
146069,R Venter
146070,Wessel Wessels
146071,A.R. Tucker
146073,Rian Venter
260664,Zahra Abbas
260664,Nedjwa Benaouida
260665,Abdellah Kellouche
260665,Rim Benmostefa
260666,Aboubaker Bossalem
260666,Daoud Ghediri
