source_id,area
1556,Humanities (broad subject range)
1323,Humanities (broad subject range)
1500,Humanities (broad subject range)
1325,Humanities (broad subject range)
1679,Humanities (broad subject range)
1739,Humanities (broad subject range)
1165,Humanities (broad subject range)
1329,Humanities (broad subject range)
1173,Humanities (broad subject range)
1192,Humanities (broad subject range)
1193,Humanities (broad subject range)
1518,Humanities (broad subject range)
1199,Humanities (broad subject range)
1200,Humanities (broad subject range)
1201,Humanities (broad subject range)
1202,Humanities (broad subject range)
1526,Humanities (broad subject range)
1691,Humanities (broad subject range)
1529,Humanities (broad subject range)
1692,Humanities (broad subject range)
1533,Humanities (broad subject range)
1697,Humanities (broad subject range)
1015,"Information, Communication & Library Sciences"
1225,"Information, Communication & Library Sciences"
1059,"Information, Communication & Library Sciences"
1074,"Information, Communication & Library Sciences"
1267,"Information, Communication & Library Sciences"
1412,"Information, Communication & Library Sciences"
1089,"Information, Communication & Library Sciences"
1413,"Information, Communication & Library Sciences"
1095,"Information, Communication & Library Sciences"
1270,"Information, Communication & Library Sciences"
1096,"Information, Communication & Library Sciences"
1638,"Information, Communication & Library Sciences"
1446,"Information, Communication & Library Sciences"
1116,"Information, Communication & Library Sciences"
1715,"Information, Communication & Library Sciences"
1138,"Information, Communication & Library Sciences"
1726,"Information, Communication & Library Sciences"
1673,"Information, Communication & Library Sciences"
1320,"Information, Communication & Library Sciences"
1501,"Information, Communication & Library Sciences"
1507,"Information, Communication & Library Sciences"
1732,"Information, Communication & Library Sciences"
1581,Language & Literature
1233,Language & Literature
1384,Language & Literature
1385,Language & Literature
1245,Language & Literature
1054,Language & Literature
1057,Language & Literature
1263,Language & Literature
1265,Language & Literature
1098,Language & Literature
1273,Language & Literature
1276,Language & Literature
1550,Language & Literature
1643,Language & Literature
1285,Language & Literature
1551,Language & Literature
1713,Language & Literature
1714,Language & Literature
1653,Language & Literature
1130,Language & Literature
1655,Language & Literature
1658,Language & Literature
1132,Language & Literature
1133,Language & Literature
1673,Language & Literature
1148,Language & Literature
1683,Language & Literature
1176,Language & Literature
1190,Language & Literature
1192,Language & Literature
1193,Language & Literature
1202,Language & Literature
1206,Language & Literature
1691,Language & Literature
1544,Philosophy
1054,Philosophy
1708,Philosophy
1454,Philosophy
1495,Philosophy
1496,Philosophy
1511,Philosophy
1515,Philosophy
1523,Philosophy
1006,Political Science & Law
1359,Political Science & Law
1360,Political Science & Law
1361,Political Science & Law
1575,Political Science & Law
1576,Political Science & Law
1226,Political Science & Law
1544,Political Science & Law
1590,Political Science & Law
1608,Political Science & Law
1083,Political Science & Law
1092,Political Science & Law
1416,Political Science & Law
1548,Political Science & Law
1429,Political Science & Law
1284,Political Science & Law
1293,Political Science & Law
1652,Political Science & Law
1303,Political Science & Law
1659,Political Science & Law
1661,Political Science & Law
1675,Political Science & Law
1153,Political Science & Law
1317,Political Science & Law
1159,Political Science & Law
1500,Political Science & Law
1173,Political Science & Law
1179,Political Science & Law
1523,Political Science & Law
1352,Psychology & Psychiatry
1220,Psychology & Psychiatry
1354,Psychology & Psychiatry
1569,Psychology & Psychiatry
1573,Psychology & Psychiatry
1364,Psychology & Psychiatry
1044,Psychology & Psychiatry
