"id","work_id"
150614,2409476699
132844,2192131914
132842,2188487579
132843,2188802142
132851,2183607944
136880,2232679067
136866,2282739088
136843,2340584836
144776,2485751807
144766,2504552331
163834,2727119466
132848,2261847091
153886,2413836636
144804,2488030694
153868,2473400442
150594,2517519574
153877,2563501800
158462,2536396602
150589,2498131997
136846,2346546917
144783,2489664014
153866,2575070803
144777,2485490302
144728,2485305129
158467,2551663390
132847,2292925204
136875,2345363420
132845,2289879147
136868,2286546204
153884,2463723638
144800,2505878842
144781,2482405792
150596,2480593828
136863,2343423014
153878,2561066019
150573,2415168386
153872,2509592653
150577,2512849319
153879,2566947135
158460,2608843494
144769,2479857625
153873,2567088828
158464,2607820118
132841,2320114949
153882,2474161151
150599,2337882587
158459,2581951632
153875,2487187401
150616,2547502120
150575,2546705057
150585,2541182976
150593,2542191997
144803,2483639135
150574,2548425750
150602,2548318300
144711,2503323627
150572,2546975915
144710,2505730863
153865,2567359285
150579,2540467582
158457,2605815359
153867,2564983657
153869,2468997049
150570,2542807965
150576,2471976762
153874,2487523926
144807,2481016280
150581,2542557306
150582,2508779390
153880,2551942340
150610,2541982526
144724,2517194229
158463,2556764981
153871,2556179521
153883,2516996951
158461,2609711651
150591,2541306245
158456,2571750993
158465,2566809397
158466,2571098469
158471,2578639797
169935,2550164493
158458,2612083372
158468,2590509564
158472,2552026522
158469,2611025304
153864,2561784866
163697,2733330834
163703,2556919174
163833,2606220789
158470,2609695507
163702,2610751760
163690,2730561830
163706,2590039109
163693,2739816638
158473,2592067891
163837,2625875942
163838,2750876979
163835,2741490692
163839,2746545602
163705,2740355499
163704,2737039423
165476,2741634414
169855,2790780590
169910,2794057032
169934,2791501530
169928,2789333892
169912,2793612736
182241,2894515195
169906,2792262068
169876,2791047003
169868,2790421618
175809,2789453742
169883,2794061758
169960,2793568407
169958,2773195432
169940,2790265965
169878,2773545635
169873,2793271927
169869,2791140789
169899,2789805167
175818,2797885499
175819,2793089395
182292,2793697816
178908,2885200648
175807,2802069704
175805,2806057830
182291,2789781716
182269,2889849697
175808,2803256738
175815,2803406927
175812,2803924655
175811,2809949381
175821,2801922181
175810,2810538233
175814,2800791605
175817,2811140453
182236,2803954169
178918,2798263095
178904,2803516552
178906,2887586851
178921,2889968195
182293,2893159263
182107,2890550939
178911,2889398896
178913,2885101561
178920,2886337639
178917,2887106911
178909,2886906443
182297,2893432135
178914,2886245655
178901,2891940845
182082,2898048202
182243,2894203052
182080,2803962969
182246,2896717070
182226,2901357250
182280,2896610788
182239,2902166977
182232,2904463499
182277,2901219997
182287,2904608077
182073,2903841780
182290,2903893727
182282,2905215359
182230,2904703675
182198,2903675200
182273,2905393204
182090,2904069634
182092,2903617082
182289,2905035804
182262,2904621384
182250,2904149356
182074,2903633183
83119,1558640835
83121,1761583943
83122,1958099365
83123,1571329364
83125,1723310059
83126,164231718
83127,427795949
83128,1516745176
83133,1724313707
83134,134706308
83139,1809154951
83143,1526852238
83144,1509181028
83145,601644161
83146,114572740
83147,1719623435
83149,35662725
83150,162860178
85386,1495993066
85387,1603022033
85388,853625182
85389,1546390251
85390,1579173237
85391,1581590111
85392,1593725737
85395,1570974985
85396,1596859105
85397,1480049498
85398,1500566883
85399,1553013614
85400,1549095368
85401,1564869093
85402,1595871127
85403,1544828061
85404,1566398438
85405,1594800312
97602,2127453835
97603,10019357
97604,308748408
97607,587649091
97608,642790873
97612,2197155262
97614,91194370
97616,223070378
97618,203736328
97619,156067165
97620,209570243
97621,105147819
97622,576352040
97704,50932213
97706,234254302
97708,133414782
97712,79723359
97714,433169225
97715,51324375
97716,21153311
97717,110011374
97719,89846586
97721,88153418
97724,163936508
97752,38398930
97755,44352484
97760,81750898
97764,24324917
97766,119364939
97769,399360256
97775,579667553
97777,89755252
97779,433661375
157398,2123091726
157399,796653971
157403,856747128
